pre_cmt,rating,class,length
ổn_áp lắm,5,like,9
đẹp mua,5,like,7
Hàng đẹp,5,like,8
đẹp ngắn 167 ngắn,5,like,17
đẹp,5,like,3
phục_vụ tốt,5,like,11
sản_phẩm,5,like,8
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm sản_phẩm đẹp,5,like,21
hơi dày cứng sợ mặc nóng giá_thành,4,like,34
sản_phẩm,4,like,8
tốt dơ,3,not_like,6
Form không đẹp,3,not_like,14
to,3,not_like,2
sản_phẩm tạm,3,not_like,12
sản_phẩm tạm,3,not_like,12
ngắn,2,not_like,4
Áo đẹp ,5,like,7
làm_việc uy_tín kèm tận_lực hài_lòng nhầm_lẫn vững_chắc giả_dối ! _ 😊 chọn_shop,5,like,79
xù ok mặc đẹp,5,like,13
Giao,5,like,4
Đặt giao,5,like,8
Đẹp,5,like,3
.,5,like,1
đẹp vãi,5,like,7
sản_phẩm,5,like,8
sản_phẩm,5,like,8
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm,5,like,8
ôm,4,like,2
sản_phẩm tạm,3,not_like,12
Shop giao nhanh ,5,like,16
Sẽ ủng_hộ shop gói Giao,5,like,23
mỏng,5,like,4
sản_phẩm ok phục_vụ tốt,5,like,23
tốt rẻ,5,like,6
Phù hợp với giá tiền,5,like,20
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm,5,like,8
sản_phẩm,5,like,8
sản_phẩm,5,like,8
sản_phẩm,5,like,8
sản_phẩm,5,like,8
hơi mỏng,4,like,8
OkkkkkkkkKkkkkkkkkkkk ,5,like,22
đẹp mua yên_tâm Sẽ ủng_hộ shop,5,like,30
"Trước đây nghĩ quảng cáo cũng chỉ là quảng cáo, shop nào viết cũng hay, shop nào cũng khẳng định hàng hịn, trong khi giá rẻ bèo như này hàng hịn ở đâu ra.",5,like,154
đẹp giao mặc khít shop tốt mua ủng_hộ shop mua,5,like,46
sản_phẩm sản_phẩm đẹp Shop tốt Shop tốt Rất giao,5,like,48
đẹp sản_phẩm sản_phẩm đẹp,5,like,25
giao giao Rất,5,like,13
sản_phẩm tốt,5,like,12
Rất sản_phẩm đẹp Shop tốt,5,like,25
đẹp thoáng mát,5,like,14
sản_phẩm sản_phẩm,5,like,17
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
tốt,5,like,3
Chất lượng sản phẩm tuyệt vời,5,like,29
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
Rất ok_shop,5,like,11
đẹp,5,like,3
đẹp,5,like,3
đẹp rẻ sale liên_tục,5,like,20
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
Rất,5,like,3
Ok,5,like,2
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm,5,like,8
đẹp mát shop giao sai,4,like,21
đẹp giao Rất,4,like,12
mặc ship lỗi Đổi đem gửi r chờ ship mất_công đành đem sửa mặc Cho shop rút ship kiểm_tra,3,not_like,88
chất_lượng chủ_shop trách_mắng giao nhầm hứa giao giao chủ_shop gdien trách_mắng khó_chịu,3,not_like,89
" Đặt mua 2 áo , 1 áo tank tok thì ok còn 1 áo thì . Ghi chú để “ kh dãn - kh xù - kh bai “ nhưng đến khi nhận áo thì áo bị bai màu , inb hỏi lí do thì có thái độ xem thường và khi dễ khách hàng kh rep 😏",2,not_like,202
Hàng k size Cũng báo chọn_lựa size,1,not_like,34
Rất không_đáng,1,not_like,14
Đã đầy_đủ giao,5,like,14
Mua may viền sợ cộm fb nóng sờ trắng đợi săn tiếp mặc rộng fit đẹp,5,like,66
Hình ảnh mang tính chất nhận xu,5,like,31
sản_phẩm giao đẹp,5,like,17
tốt giá_cả chăm_sóc,5,like,19
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
tốt mặc mát,5,like,11
Áo ok,5,like,5
Hơi mỏng,5,like,8
Hàng,5,like,4
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất,5,like,37
sản_phẩm tốt,4,like,12
Bé mặc vừa nhưng to hơn 1 size thì ok hơn ,5,like,42
giao lắm đóng_gói oke mặc rộng lắm,5,like,34
chất_liệu co_giãn tốt vs giao hành cực,5,like,38
Tạmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,5,like,50
Hàng ok nha m.n,5,like,15
mát,5,like,3
Chất lượng sản phẩm tuyệt vời,5,like,29
ok,5,like,2
sản_phẩm sản_phẩm đẹp,5,like,21
Tạm ổn,5,like,6
Chất,5,like,4
Sai kiểu áo ,5,like,12
Tạm ổn,5,like,6
Hàng đẹp,5,like,8
sản_phẩm,5,like,8
tốt,4,like,3
Đã giao không_đẹp mặc nóng giao,3,not_like,31
trải_nghiệm shop chăm_sóc tư_vấn xài sướng hẳn ham rẻ mua lởm vác bực cực đồng_tiền,5,like,83
"Uiiii áo đẹp lắm mọi người nha, chất vải dày dặn, mềm mát sờ đã tay lắm. Người yêu em được mua cho ưng lắm cứ hỏi mua ở đâu. Em chém gió hàng bản giới hạn ko có dễ mua đc  đâu 🤣 kkk cứ tiếc bảo ko chọn cho a thêm mấy màu nữa mặc thay đổi",5,like,237
giao dày_dặn giặt,5,like,17
ok hơi thích mặc rộng,5,like,21
$ $ _ $ shop gói đẹp mua tiếp,5,like,29
tốt giao tư_vấn vui_tính mua ủng_hộ chúc đắt,5,like,44
Đẹp,5,like,3
đẹp mặc mát mềm,5,like,15
đẹp giao,5,like,8
sản_phẩm,5,like,8
Mặc tạm,5,like,7
Hàng đẹp ngon shop đừng ham rẻ mua rẻ 😒 toàn chả sp chả kêu vác bực nhiệt_tình,5,like,78
đẹp ưng,5,like,7
đẹp ưng giao kỹ đòng tốt ok,5,like,27
Sản phẩm ok . Shop tư vấn nhiệt tình,5,like,36
Hàng đẹp lắm,5,like,12
tốt giao mua,5,like,12
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm,5,like,8
Nói_chung,4,like,9
Chất lượng sản phẩm rất tốt,3,not_like,27
đẹp okmua ủng_hộ,5,like,16
Đã Đi hơi,5,like,9
giao shop tốt sp đẹp,5,like,20
đẹp rẻ giao hàng hơi đẹp,5,like,24
chất_lượng mặc đẹp,5,like,18
Đã mắc mát,5,like,10
giao may,5,like,8
"Chọn rời một thành phố ,",5,like,24
mua shop rẻ mà_còn,5,like,18
ok mặc mát khít giao,5,like,20
Giao ko đẹp lắm oke Mặc,5,like,23
"nhược điểm: áo mỏng te lộ đầu ti, mình m72 75kg sz L vừa vặn chứ ko rộng, ai thik rộng nên đặt XL",5,like,97
Mua thích thoáng mát thích,5,like,26
đẹp size đo,5,like,11
mua mua good,5,like,12
size Đúng giao hơi,5,like,18
Mua thu giao chat de nen mua,5,like,28
đẹp mỏng mát thích_hợp tập Định mua,5,like,35
Qwrryhklsdfghjnm......ghreeefgjhgffgh.fffff......😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀,5,like,69
Áo Ok nhé mn,5,like,12
pham,5,like,4
đẹp,5,like,3
Hàng đẹp lắm,5,like,12
gui kieu,5,like,8
Giao goi chat thoang,5,like,20
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm,5,like,8
Rất,5,like,3
sản_phẩm sản_phẩm đẹp,5,like,21
Hàng ok,4,like,7
sản_phẩm,4,like,8
tư_vấn kĩ_Áo dày thấm mng mua thơm Thơm_nức,5,like,43
giao mặc mát tốt gầy mặc hơi rộng,5,like,33
Giống y_như giao thích hài_lòng rẻ đẹp,5,like,38
xinh xỉu giặt xong mềm thích Cám_ơn shop đẹp giao,5,like,49
Hàng đẹp đẹp ưng nhăn mn hài_lòng đc tặng,5,like,41
mắc giao làm_ăn,5,like,15
ổn đen hình_như dày ưng giao ninja mua,5,like,38
đẹp sx mua chim_ưng Đã mua e nờ ưng ủng_hộ Nữa mua,5,like,50
Giao mặc bền hài_lòng mặc y ok ok giao ủng_hộ,5,like,45
mua may đắt đẹp lắm mềm thấm hút,5,like,32
shop nhiệt_tình giao thân_thiện ủng_hộ,5,like,38
đẹp Giao thân_thiện mua ủng_hộ tiếp,5,like,35
giao đóng_gói áo10 mặc thích,5,like,28
Giao ổn in ok,5,like,13
Giao đóng_gói chất_lượng mềm sò mát shopĐánh _ * ủng_hộ shop mua đáng_giá lắm,5,like,77
đóng_gói tốt giao,5,like,17
Tốt,5,like,3
ưng mua k liên_quan_shop,5,like,24
nóng không_co lão mặc thu mua đắt chất ko đẹp rẻ,5,like,48
sản_phẩm,5,like,8
giao,5,like,4
hơi rộng mua,5,like,12
A ,5,like,2
Đẹp lắm,5,like,7
nách hẹp bó mặc bó rộng,5,like,23
sản_phẩm phục_vụ tốt Rất giao,5,like,29
sản_phẩm đẹp Rất giao,5,like,21
sản_phẩm đẹp,5,like,12
ok xấu mặc xấu cổ nhúm nhúm đáp đẹp mặc đòi,2,not_like,43
giao tặng kèm đơn_giao hơi,5,like,26
mặc mát_ 🤪 _ 😝 _ 😝 _ 😊 mua 4-5 yên_tâm mềm,5,like,42
xanh mềm co_giãn xanh mát_mẻ,5,like,28
Quá đẹp lạnh thoáng êm lắm mua,5,like,30
giao giao trc xong giao dễ_thương,5,like,33
mặc mua,5,like,7
ko ngờ rẻ mik mua in mịn mát dặng giao mua,5,like,42
giao cẩn_thận đẹp_đẽ,5,like,20
tốt vs mua dhe,5,like,14
sản_phẩm,5,like,8
mặc mát ổn,5,like,10
giao ủng_hộ tiếp,5,like,16
Đã mặc mát sợ giặt k lân mua ủng_hộ tiếp,5,like,40
mềm đẹp mua,5,like,11
Giao hơi,5,like,8
Mặc đẹp mặc mát ổn tròn,5,like,23
hơi mỏng mát giao,5,like,17
coi,5,like,3
ok,5,like,2
sản_phẩm,5,like,8
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm đẹp,5,like,12
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp phục_vụ tốt,5,like,33
sản_phẩm tốt,4,like,12
trc nhầm báo trc báo gửi k,1,not_like,26
"Form áo to đẹp, màu này lên rất trắng da. Phía sau có thiết kế 1 line giữa áo may rất kĩ, không có chỉ thừa. Chất áo mỏng nhẹ rất mát",5,like,133
đẹp lắm mát Giao mặc_dù dịch,5,like,28
hình_ảnh không_liên Giao đẹp mặc,5,like,32
đẹp tuyệt_vời mặc mấu xanh mặc mua,5,like,34
Đẹp vãi tốt mặc mát mua ko,5,like,26
đẹp mua,5,like,7
xinh thô thoáng mát,5,like,19
Giao hành,5,like,9
đẹp lắm quí shop mua,5,like,20
Rất đen xấu mỏng tạm ổn,5,like,23
Giao đóng cẩn_thận đẹp mặc mát rộng_rãi 10/10 mua,5,like,49
oke đẹp lắm e mua lắm to rộng m65 e đẹp,5,like,39
sản_phẩm đậm đẹp chụp hơi nhạt,5,like,30
Giao chê,5,like,8
Giao sản_phẩm,5,like,13
minh_họa đẹp mặc,5,like,16
đẹp mỏng đóng hàng tốt ship,5,like,27
"Bên Em có nhiều mẫu đồ xinh lắm, mọi người ghé lựa nhé mua tặng ny đúng bài, chắc chắn duyệt .....",5,like,98
đẹp giao ủng_hộ không_liên,5,like,26
rộng vãi mát giặt e e mua mặc from v,5,like,36
Đợi hơi lâu vì dịch nhưng nhận được là ưng,5,like,42
huhu xinh xễu mng m65 mặc tanktop phủ mông rẻ box tag,5,like,53
dày đẹp đen mỏng,5,like,16
sản_phẩm sản_phẩm đẹp Rất giao,5,like,30
tặng,5,like,4
sản_phẩm tốt 💵,5,like,14
"Mới nhận hồi sáng, e viết đánh giá chủ yếu để nhận xu thôi ạ",5,like,60
tốt lắm cực mặc mát thoải_mái lắm,5,like,33
đẹp lắm chi_shop perfect 😊 mua,5,like,30
đẹp mặc mềm mát nữalần mua ok đóng_gói xịn xò lắm,5,like,49
xịn đẹp lắm Sẽ ủng_hộ Mặc tập gym,5,like,33
xịn mua,5,like,7
đẹp,5,like,3
Okay,5,like,4
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất,5,like,37
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất,5,like,37
 đóng gói tốt,5,like,13
Đã mua vừa_ý rẻ chất_lượng tốt Sẽ ủng_hộ shop,5,like,45
Giống y_như giao thích hài_lòng rẻ đẹp,5,like,38
đẹp lắm ạGiao Không thừa mua mặc thoải_mái mông mặc nghiêm_túc đẹp,5,like,66
tốt mua 99 dày size tốt,5,like,23
đẹp dầy mát tốt Giao,5,like,20
Hàng okie lắm hơi rộng ổn,5,like,25
giao đóng_gói dày thấm hút mồ_hôi,5,like,33
ngon,5,like,4
hơi nóng đẹp,5,like,12
Hang tot dep,5,like,12
đẹp,5,like,3
đẹp in,5,like,6
Hơi nhỏ so với cùng size loại khác,5,like,39
Tốt,5,like,3
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất,5,like,37
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm,5,like,8
sản_phẩm,5,like,8
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm,5,like,8
sản_phẩm,5,like,8
sản_phẩm,5,like,8
Ok,4,like,2
bé,3,not_like,2
OK shop nhé. Lần sau khuyến mãi nhiều nhiều mua nữa,5,like,51
Very nice . Thanks you aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,5,like,63
hơi mỏng tạm dc fkfkfmfmkf dkkdmekc fkflflrkkx,5,like,46
Giống giao rrr,5,like,14
Giao ok,5,like,7
hàngnói giao ok sẻ sop tiếp,5,like,27
mát Mặc thích đen,5,like,17
giao đẹp mặc mát,5,like,16
Ok,5,like,2
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm,5,like,8
sản_phẩm đẹp,5,like,12
sản_phẩm đẹp phục_vụ tốt,5,like,24
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
Hơi mỏng,4,like,8
dày_dặn may đẹp Hàng tặng,5,like,25
Đóng gói sp khá ok nhé,5,like,22
mỏng nóng một_chút tặng không_đòi,5,like,33
giao okela xịn rẻ lắm,5,like,21
Dùng,5,like,4
đẹp thích mặc không_bị,5,like,22
tốt xịn ưng mua tặng ngoại,5,like,26
sp mặc,5,like,6
đẹp giao size,5,like,13
mát cẩn_thận,5,like,12
] _Du tu dam truy dong chi 4G truy khach su va may co che dan 198,5,like,65
Giao tốt mua,5,like,12
tốt giao,5,like,8
ko kiếm đẹp mặc,5,like,15
mua Hàng đẹp nhiệt_tình,5,like,23
thoáng mát dày_dặn,5,like,18
tặng kèm trông dày_dặn,5,like,22
xịn lắm mua xịn gập cứng lót cầm lắm mỏng mặc mát mặc lun,5,like,57
giao ủng_hộ sản_phẩm,5,like,20
tặng kèm in lo,5,like,14
Đã giao tư_vấn Đặt,5,like,18
Hàng đẹp ưng tặng sịp chấp_nhận,5,like,31
Hàng đẹp mua hài_lòng,5,like,21
Giao tốt tặng,5,like,13
mềm đẹp xịn sò chất_lượng mua rẻ lo mặc mua thử,5,like,47
sản_phẩm sản_phẩm đẹp,5,like,21
Ok,5,like,2
Không gửi kèm,5,like,13
đẹp,5,like,3
Đúng,5,like,4
đẹp,5,like,3
ko chấp_nhận,5,like,12
sản_phẩm phục_vụ tốt giao,5,like,25
Nói tặng ko ko,3,not_like,14
ok lắm hai_lòng thử tháy mát gioi,5,like,33
"Form như hình, có điều form hơi ôm, hơi nhỏ.",5,like,44
Đẹp Siêu sale tại Shopee ngày 08/08,5,like,35
rẻ đẹp giao,5,like,11
"Shop giao hàng rất nhanh , giao đúng màu áo , chất lượng áo khá ok .",5,like,68
đẹp thoáng nát may ngiệt gou1,5,like,29
đẹp 😍 _ 😍 _ 😍 _ 😍 đẹp,5,like,21
shop ghé thăm tiếp,5,like,18
Giao Tặng ủng_hộ tiếp chúc_shop,5,like,31
sp oke,5,like,6
shop,5,like,4
sản_phẩm sản_phẩm đẹp phục_vụ tốt giao,5,like,38
sản_phẩm sản_phẩm đẹp Rất giao,5,like,30
sản_phẩm,5,like,8
phục_vụ tốt giao,5,like,16
giao nhầm đổi hơi chậm hơi khó_chịu shop đổi đẹp dày mặc mát cân_nhắc ủng_hộ tiếp hơi ngán giao nhầm giải_quyết,4,like,111
Để đây và ko nói gì,3,not_like,19
ok lắm mặc sexy khoe mua,5,like,24
"đồ oke ạ, nhiều mẫu mã chọn lựa",5,like,31
Đẹp,5,like,3
mặc,5,like,3
mặc,5,like,3
sản_phẩm sản_phẩm đẹp Rất giao,5,like,30
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
đẹp giao nhầm để_ý,4,like,18
đẹp giao sai mong_shop chú_ý,3,not_like,28
giao đẹp tốt,5,like,12
đẹp hơi mặc,5,like,11
may giao,5,like,8
tốt ngắn mua mà_còn ngắn mặc,5,like,28
Hàng đẹp mát tv,5,like,15
hút,5,like,3
đẹp,5,like,3
phục_vụ tốt,5,like,11
sản_phẩm phục_vụ tốt,5,like,20
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm tốt,4,like,12
tốt đóng_gói giao,5,like,17
đẹp gói Sẽ,5,like,10
Nhận đẹp qa Mua mua,5,like,19
sản_phẩm sản_phẩm đẹp Rất giao Rất,5,like,34
sản_phẩm sản_phẩm đẹp sản_phẩm sản_phẩm đẹp,5,like,43
sản_phẩm sản_phẩm sản_phẩm đẹp,5,like,30
sản_phẩm sản_phẩm sản_phẩm đẹp sản_phẩm,5,like,39
sản_phẩm sản_phẩm đẹp,5,like,21
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
 Chất lượng sản phẩm tuyệt vời,5,like,30
Rất,5,like,3
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp,5,like,21
tốt mặc,5,like,7
Tốt mua rẻ,5,like,10
chất_liệu may ổn ổn mặc hơi ôm lai,5,like,34
rộng mua mặc hơi ôm giặt giãn,5,like,29
Giao cẩn_thận hơi ôm mua bự,5,like,27
Giao đóng_gói chất hơi cứng,5,like,27
sản_phẩm Rất hài_lòng,5,like,21
tốtlần mua quần shop tập,5,like,24
đẹp,5,like,3
Rất hài_lòng,5,like,12
đẹp,5,like,3
Tốt,5,like,3
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm,5,like,8
sản_phẩm đẹp,5,like,12
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm,5,like,8
phục_vụ tốt giao,5,like,16
Mặc nóng,3,not_like,8
Giao hành tặng kèm,5,like,18
giao ủng_hộ shop tiếp,5,like,21
lười chụp sp ổn ship ổn,5,like,23
giao tốt,5,like,8
giao sản_phẩm,5,like,13
San pham ok,5,like,11
Chẳng mua ưng lắm mua,5,like,21
mỏng lắm mỏng k mua,5,like,19
mỏng chất_lượng siez chật cân,5,like,29
hơi chật cân_nhắc mua,5,like,21
Đã giao mỏng thừa,5,like,17
mỏng giao,5,like,9
tốt,5,like,3
mát tốt giặt,5,like,12
sản_phẩm,5,like,8
đẹp sản_phẩm tốt Rất,5,like,20
đẹp giao trắng,5,like,14
sản_phẩm đẹp,5,like,12
Hàng ok.thanks shop,5,like,19
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm sản_phẩm đẹp,5,like,21
Chất lượng phù hợp với giá tền,5,like,30
đẹp,5,like,3
Mặc thể_thao,5,like,12
hàng như quảng cáo,5,like,18
đẹp mặc,5,like,7
ổn,5,like,2
sp kém,5,like,6
sản_phẩm sản_phẩm đẹp,5,like,21
Ưng ý ,5,like,6
Ok,5,like,2
 Chất lượng sản phẩm tuyệt vời,5,like,30
sản_phẩm sản_phẩm đẹp,5,like,21
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm,5,like,8
mỏng cân_nhắc mua,4,like,17
Bị r,4,like,4
bé size thi mặc chật Mua mua Nêu thi may_ra,4,like,43
Ổn,4,like,2
mỏng_shop chuẩn mặc ôm ngại ngán mua mặc lành shop lắm ah size,3,not_like,62
hợp hơi mỏng mát Chỉ mua điện_báo xám bảo giao trắng,3,not_like,52
mỏng trắng dính hk sạch hjk mua rẻ the buon dính,3,not_like,48
mát rách giao kỹ,3,not_like,16
Cùng mác mặc ko,3,not_like,15
sản_phẩm tạm,3,not_like,12
giao trắng giao xám trắng nhắn đổi giao bừa,2,not_like,43
giao ko chán đề_nghị,2,not_like,20
sản_phẩm kém ko chuẩnmua mặc,2,not_like,28
sản_phẩm kém,2,not_like,12
giao chậm,2,not_like,9
sản_phẩm kém,2,not_like,12
mua chật_ních ôm chặt mỏng mặc không_nhiều liền xong không_mặc nổi,1,not_like,66
mặc,1,not_like,3
mặc kém mua mặc,1,not_like,15
bé,1,not_like,2
hoàn,1,not_like,4
đẹp đẹp co_giãn tốt giao hợp_lý mua,5,like,35
đẹp lắm Rẻ ủng_hộ shop dài_dài giao giao ok,5,like,43
mát mnưng lắm mua,5,like,17
hợp_lý mua mặc tặng đánh,5,like,24
giao,5,like,4
ok giao mặc mát tặng,5,like,20
"Hàng cũng được, chất như ảnh, hình ảnh chỉ mang tính chất nhận xụ",5,like,65
"đóng gói đẹp,chất liệu áo tốt mà rẻ.Nên mua nha mn. Được tặng cả khẩu trangShop tư vấn nhiệt tình, sẽ ủng hộ shop",5,like,113
"Giao hàng khá nhanh, chất vải mát, sản phẩm giống với ảnh .Nch là hết nước chấm lun , shop uy tín",5,like,97
thông thoáng mát xịn,5,like,20
thích shop mát đẹpmình,5,like,22
túi_tiền,5,like,8
Giao iu mặc đẹp_trai hẳn,5,like,24
thích lắm,4,like,9
Giao đóng_gói tư_vấn đẹp hơi cũ tươi mặc mát,5,like,44
đẹp ổn tốt ủng_hộ,5,like,17
ok lắm mua,5,like,10
không_ưng lắm cố gâng k lắm,5,like,27
"Áo siêu xịn, chất cực đẹp, to ....shop siêu tận tình, giao hàng siêu nhanh, nói chung sẽ tiếp tục ủng hộ👍👍",5,like,106
Ảnh mang tính chất nhận xu ,5,like,27
xinh lắm giao lướt giàu,5,like,23
Sản phẩm tuyệt,5,like,14
chất_lượng mn,5,like,13
tốt giao đẹp,5,like,12
Áo hơi nhỏ ậbanakakanbzbNjKmzbzkalKka,5,like,37
Đẹppppoppooppppppp,5,like,18
hơi ngắn,5,like,8
chán,5,like,4
oke lắm,5,like,7
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất giao,5,like,42
giao,5,like,4
ngắn,4,like,4
hấhnd,3,not_like,5
mát Ngắn,3,not_like,8
tưởng giao,5,like,10
Giao hơi nóng tạm ổn,5,like,20
đẹp chủ_shop nói_chuyện ok mua thử,5,like,34
shop thoáng mặc khen lắm ủng_hộ shop,5,like,36
Giao rẻ đẹp mặc y Sẽ ủng_hộ,5,like,27
Không ưng lắm tạm Sẽ ủng_hộ shop co sp,5,like,38
đẹp,5,like,3
😂 giao không_mặc tốt,5,like,20
đc đẹp_ý ủng_hộ,5,like,15
🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤đánh giá chỉ mang tính chất lấy xu,5,like,65
thừa gửi giao,5,like,13
Giao nhầm màu 1 cái,5,like,19
shop tư_vấn đền_bù mua rẻ,5,like,25
Sẽ ủng_hộ shop tiếp,5,like,19
Háiisndndososnzuixenxjkzndjsisnsjzksosndnzysifnckxiismskwisbdiciodnsisisuzhsndkdixhdndixijxkxixjxjdjdjdkenendiodndbsysbdỏnnsuzysbsidnsnsnsidjdndkdisndkdosjsnsuzhxkxonxjd,5,like,169
Hàng đẹp rẻ giao sai ko hàng đẹp vvvvvvv,5,like,40
êm giao Đặt xám giao giao kém,5,like,29
ok ngon,5,like,7
"Ao dep, gggggggggggggggggggggggggggggggggggghhhhhhhhh",5,like,53
đen giao k ok,5,like,13
Mua ưng giao nhầm giao nhầm,5,like,27
sản_phẩm sản_phẩm đẹp,5,like,21
Ok,5,like,2
tốt mua,5,like,7
....jnniufbjhc,5,like,14
hàng_hóa_OK,5,like,11
làm_ăn mua gửi đề_nghị shop đổi,5,like,31
Hàng ngon giá rẻ,5,like,16
Quần ngon ,5,like,10
hoàn,5,like,4
Ok,5,like,2
tốt giao,5,like,8
đẹp thoáng mát,5,like,14
tốt,5,like,3
Làm Giao,5,like,8
ngon bổ rẻ,5,like,10
đẹp,5,like,3
đẹp,5,like,3
lắm,5,like,3
mua lừa,5,like,7
Giao nhầm,5,like,9
sản_phẩm sản_phẩm đẹp Rất,5,like,25
sản_phẩm sản_phẩm đẹp phục_vụ tốt Rất,5,like,37
sản_phẩm,5,like,8
sản_phẩm,5,like,8
sản_phẩm sản_phẩm đẹp,5,like,21
Hàng đẹp nhưng bị sai màu 1sp,4,like,29
gửi sai đẹp,4,like,11
Đặt đỏ giao trắng,4,like,17
Đặt đen giao xanh,4,like,17
sản_phẩm tốt,4,like,12
mua thất_vọng giao giao mày_tao giao cân_nhắc kua,3,not_like,49
Giao sai xanh bích xám giao xanh xanh đen,3,not_like,41
So hợp_lí Tuy_nhiên ổn mua ib tư_vấn Tránh mua Thêm giao sai điện_báo giao,2,not_like,74
giao_3XL Mặc shop,2,not_like,17
Đặt đen ghi xanh đen giao đen,2,not_like,29
sờ thô mịn,2,not_like,10
Giao giao làm_ăn không_đến đéo mua,1,not_like,34
dán 2XL chật gửi chật,1,not_like,21
Giao chậm sai sai liên_hệ báo_shop bận ko ko tốt giao,1,not_like,53
Mua giao chat bơ wơ ủng_hộ,1,not_like,26
giao chậm k size mua Mua gửi mặc Đặt trắng gửi đen trắng k,1,not_like,58
Đặt gửi không_trả kém,1,not_like,21
mỏng kiểu_cách Khá thất_vọng,1,not_like,28
Về,1,not_like,2
Đặt + giao,1,not_like,10
sản_phẩm kém,1,not_like,12
Mua lan la thu chat mềm mát re chat tốt,5,like,39
Giao gói thậnchất_lượng,5,like,23
Giao okđóng,5,like,11
Hàng đẹp giao gói shop nhiệt tình5,5,like,34
